Order Date,Ship Date,Customer,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2021-01-01,2021-01-03,Customer_566,Home Office,United States,Sample City,Sample State,Central,Snacks,Snacks,Instant Noodles Pack,120.0,8,0.0,29.91
2021-01-01,2021-01-04,Customer_761,Consumer,United States,Sample City,Sample State,South,Personal Care,Personal Care,Toothpaste 150g,600.0,8,0.0,150.17
2021-01-01,2021-01-02,Customer_260,Corporate,United States,Sample City,Sample State,West,Snacks,Snacks,Classic Namkeen 200g,228.0,6,0.05,33.16
2021-01-01,2021-01-04,Customer_781,Home Office,United States,Sample City,Sample State,Central,Beverages,Beverages,Mango Juice 1L,765.0,9,0.0,176.86
2021-01-01,2021-01-02,Customer_230,Consumer,United States,Sample City,Sample State,East,Household,Household,Floor Cleaner 1L,336.0,3,0.2,76.8
2021-01-01,2021-01-02,Customer_415,Corporate,United States,Sample City,Sample State,South,Snacks,Snacks,Dark Chocolate Bar,400.0,5,0.0,46.51
2021-01-01,2021-01-04,Customer_554,Consumer,United States,Sample City,Sample State,East,Snacks,Snacks,Classic Namkeen 200g,342.0,9,0.05,42.55
2021-01-01,2021-01-03,Customer_971,Corporate,United States,Sample City,Sample State,South,Beverages,Beverages,Green Tea Box,427.5,3,0.05,84.54
2021-01-01,2021-01-02,Customer_802,Corporate,United States,Sample City,Sample State,East,Household,Household,Floor Cleaner 1L,798.0,6,0.05,193.06
2021-01-01,2021-01-03,Customer_962,Home Office,United States,Sample City,Sample State,West,Personal Care,Personal Care,Face Wash 100ml,180.5,2,0.05,58.43
2021-01-01,2021-01-02,Customer_819,Consumer,United States,Sample City,Sample State,East,Beverages,Beverages,Green Tea Box,840.0,7,0.2,93.5
2021-01-02,2021-01-03,Customer_140,Consumer,United States,Sample City,Sample State,Central,Household,Household,Laundry Detergent 1kg,1596.0,8,0.05,544.74
2021-01-02,2021-01-03,Customer_747,Home Office,United States,Sample City,Sample State,Central,Household,Household,Laundry Detergent 1kg,210.0,1,0.0,72.81
2021-01-02,2021-01-03,Customer_478,Consumer,United States,Sample City,Sample State,South,Personal Care,Personal Care,Toothpaste 150g,60.0,1,0.2,16.94
2021-01-02,2021-01-04,Customer_132,Home Office,United States,Sample City,Sample State,South,Personal Care,Personal Care,Face Wash 100ml,684.0,9,0.2,215.99
2021-01-02,2021-01-04,Customer_646,Consumer,United States,Sample City,Sample State,East,Beverages,Beverages,Mineral Water 1L,160.0,8,0.0,45.18
2021-01-02,2021-01-05,Customer_866,Corporate,United States,Sample City,Sample State,Central,Snacks,Snacks,Dark Chocolate Bar,240.0,3,0.0,67.3
2021-01-02,2021-01-04,Customer_991,Consumer,United States,Sample City,Sample State,South,Beverages,Beverages,Mineral Water 1L,162.0,9,0.1,33.52
2021-01-02,2021-01-04,Customer_584,Home Office,United States,Sample City,Sample State,South,Snacks,Snacks,Dark Chocolate Bar,560.0,7,0.0,100.01
2021-01-02,2021-01-05,Customer_342,Corporate,United States,Sample City,Sample State,Central,Beverages,Beverages,Mineral Water 1L,80.0,4,0.0,9.54
2021-01-02,2021-01-04,Customer_430,Corporate,United States,Sample City,Sample State,East,Personal Care,Personal Care,Hand Sanitizer 100ml,450.0,9,0.0,143.04
2021-01-02,2021-01-03,Customer_476,Home Office,United States,Sample City,Sample State,West,Beverages,Beverages,Mineral Water 1L,162.0,9,0.1,52.93
2021-01-02,2021-01-05,Customer_809,Home Office,United States,Sample City,Sample State,Central,Household,Household,Floor Cleaner 1L,560.0,4,0.0,176.5
2021-01-02,2021-01-05,Customer_926,Corporate,United States,Sample City,Sample State,East,Personal Care,Personal Care,Herbal Shampoo 180ml,600.0,5,0.0,77.98
2021-01-02,2021-01-04,Customer_663,Corporate,United States,Sample City,Sample State,Central,Beverages,Beverages,Green Tea Box,600.0,4,0.0,69.73
2021-01-02,2021-01-03,Customer_798,Consumer,United States,Sample City,Sample State,East,Beverages,Beverages,Mineral Water 1L,60.0,3,0.0,8.22
2021-01-02,2021-01-03,Customer_484,Home Office,United States,Sample City,Sample State,East,Snacks,Snacks,Classic Namkeen 200g,216.0,6,0.1,36.65
2021-01-02,2021-01-04,Customer_515,Home Office,United States,Sample City,Sample State,East,Household,Household,Floor Cleaner 1L,560.0,5,0.2,118.69
2021-01-02,2021-01-04,Customer_379,Consumer,United States,Sample City,Sample State,South,Snacks,Snacks,Instant Noodles Pack,108.0,8,0.1,17.34
2021-01-02,2021-01-03,Customer_300,Home Office,United States,Sample City,Sample State,East,Snacks,Snacks,Instant Noodles Pack,85.5,6,0.05,20.0
2021-01-02,2021-01-05,Customer_445,Home Office,United States,Sample City,Sample State,West,Beverages,Beverages,Mango Juice 1L,204.0,3,0.2,37.02
2021-01-02,2021-01-03,Customer_739,Home Office,United States,Sample City,Sample State,South,Household,Household,Laundry Detergent 1kg,672.0,4,0.2,83.36
