date,store_id,sku_id,product_name,category,units_sold,price,stock_on_hand
2024-01-01,ST01,SKU001,Masala Chips 50g,Snacks,46,20.0,86
2024-01-02,ST01,SKU001,Masala Chips 50g,Snacks,47,20.0,39
2024-01-03,ST01,SKU001,Masala Chips 50g,Snacks,33,20.0,6
2024-01-04,ST01,SKU001,Masala Chips 50g,Snacks,31,20.0,0
2024-01-05,ST01,SKU001,Masala Chips 50g,Snacks,31,20.0,0
2024-01-06,ST01,SKU001,Masala Chips 50g,Snacks,46,20.0,0
2024-01-07,ST01,SKU001,Masala Chips 50g,Snacks,42,20.0,0
2024-01-08,ST01,SKU001,Masala Chips 50g,Snacks,33,20.0,0
2024-01-09,ST01,SKU001,Masala Chips 50g,Snacks,32,20.0,86
2024-01-10,ST01,SKU001,Masala Chips 50g,Snacks,34,20.0,52
2024-01-11,ST01,SKU001,Masala Chips 50g,Snacks,31,20.0,21
2024-01-12,ST01,SKU001,Masala Chips 50g,Snacks,29,20.0,0
2024-01-13,ST01,SKU001,Masala Chips 50g,Snacks,41,20.0,0
2024-01-14,ST01,SKU001,Masala Chips 50g,Snacks,41,20.0,0
2024-01-15,ST01,SKU001,Masala Chips 50g,Snacks,33,20.0,104
2024-01-16,ST01,SKU001,Masala Chips 50g,Snacks,40,20.0,64
2024-01-17,ST01,SKU001,Masala Chips 50g,Snacks,30,20.0,34
2024-01-18,ST01,SKU001,Masala Chips 50g,Snacks,30,20.0,4
2024-01-19,ST01,SKU001,Masala Chips 50g,Snacks,34,20.0,0
2024-01-20,ST01,SKU001,Masala Chips 50g,Snacks,42,20.0,0
2024-01-21,ST01,SKU001,Masala Chips 50g,Snacks,39,20.0,0
2024-01-22,ST01,SKU001,Masala Chips 50g,Snacks,35,20.0,0
2024-01-23,ST01,SKU001,Masala Chips 50g,Snacks,28,20.0,0
2024-01-24,ST01,SKU001,Masala Chips 50g,Snacks,30,20.0,0
2024-01-25,ST01,SKU001,Masala Chips 50g,Snacks,33,20.0,0
2024-01-26,ST01,SKU001,Masala Chips 50g,Snacks,36,20.0,100
2024-01-27,ST01,SKU001,Masala Chips 50g,Snacks,47,20.0,53
2024-01-28,ST01,SKU001,Masala Chips 50g,Snacks,44,20.0,9
2024-01-29,ST01,SKU001,Masala Chips 50g,Snacks,35,20.0,0
2024-01-30,ST01,SKU001,Masala Chips 50g,Snacks,31,20.0,0
2024-01-31,ST01,SKU001,Masala Chips 50g,Snacks,30,20.0,74
2024-02-01,ST01,SKU001,Masala Chips 50g,Snacks,29,20.0,45
2024-02-02,ST01,SKU001,Masala Chips 50g,Snacks,37,20.0,8
2024-02-03,ST01,SKU001,Masala Chips 50g,Snacks,43,20.0,0
2024-02-04,ST01,SKU001,Masala Chips 50g,Snacks,48,20.0,0
2024-02-05,ST01,SKU001,Masala Chips 50g,Snacks,36,20.0,66
2024-02-06,ST01,SKU001,Masala Chips 50g,Snacks,31,20.0,35
2024-02-07,ST01,SKU001,Masala Chips 50g,Snacks,36,20.0,0
2024-02-08,ST01,SKU001,Masala Chips 50g,Snacks,28,20.0,0
2024-02-09,ST01,SKU001,Masala Chips 50g,Snacks,30,20.0,0
2024-02-10,ST01,SKU001,Masala Chips 50g,Snacks,46,20.0,0
2024-02-11,ST01,SKU001,Masala Chips 50g,Snacks,43,20.0,0
2024-02-12,ST01,SKU001,Masala Chips 50g,Snacks,36,20.0,0
2024-02-13,ST01,SKU001,Masala Chips 50g,Snacks,35,20.0,80
2024-02-14,ST01,SKU001,Masala Chips 50g,Snacks,32,20.0,48
2024-02-15,ST01,SKU001,Masala Chips 50g,Snacks,29,20.0,19
2024-02-16,ST01,SKU001,Masala Chips 50g,Snacks,32,20.0,0
2024-02-17,ST01,SKU001,Masala Chips 50g,Snacks,48,20.0,0
2024-02-18,ST01,SKU001,Masala Chips 50g,Snacks,49,20.0,0
2024-02-19,ST01,SKU001,Masala Chips 50g,Snacks,32,20.0,0
2024-02-20,ST01,SKU001,Masala Chips 50g,Snacks,27,20.0,61
2024-02-21,ST01,SKU001,Masala Chips 50g,Snacks,28,20.0,33
2024-02-22,ST01,SKU001,Masala Chips 50g,Snacks,30,20.0,3
2024-02-23,ST01,SKU001,Masala Chips 50g,Snacks,30,20.0,0
2024-02-24,ST01,SKU001,Masala Chips 50g,Snacks,53,20.0,0
2024-02-25,ST01,SKU001,Masala Chips 50g,Snacks,50,20.0,0
2024-02-26,ST01,SKU001,Masala Chips 50g,Snacks,33,20.0,86
2024-02-27,ST01,SKU001,Masala Chips 50g,Snacks,38,20.0,48
2024-02-28,ST01,SKU001,Masala Chips 50g,Snacks,27,20.0,21
2024-02-29,ST01,SKU001,Masala Chips 50g,Snacks,35,20.0,114
2024-03-01,ST01,SKU001,Masala Chips 50g,Snacks,35,20.0,79
2024-03-02,ST01,SKU001,Masala Chips 50g,Snacks,58,20.0,21
2024-03-03,ST01,SKU001,Masala Chips 50g,Snacks,60,20.0,0
2024-03-04,ST01,SKU001,Masala Chips 50g,Snacks,51,20.0,0
2024-03-05,ST01,SKU001,Masala Chips 50g,Snacks,38,20.0,0
2024-03-06,ST01,SKU001,Masala Chips 50g,Snacks,44,20.0,0
2024-03-07,ST01,SKU001,Masala Chips 50g,Snacks,47,20.0,100
2024-03-08,ST01,SKU001,Masala Chips 50g,Snacks,37,20.0,63
2024-03-09,ST01,SKU001,Masala Chips 50g,Snacks,54,20.0,9
2024-03-10,ST01,SKU001,Masala Chips 50g,Snacks,56,20.0,0
2024-03-11,ST01,SKU001,Masala Chips 50g,Snacks,47,20.0,66
2024-03-12,ST01,SKU001,Masala Chips 50g,Snacks,36,20.0,30
2024-03-13,ST01,SKU001,Masala Chips 50g,Snacks,38,20.0,0
2024-03-14,ST01,SKU001,Masala Chips 50g,Snacks,48,20.0,0
2024-03-15,ST01,SKU001,Masala Chips 50g,Snacks,58,20.0,0
2024-03-16,ST01,SKU001,Masala Chips 50g,Snacks,52,20.0,0
2024-03-17,ST01,SKU001,Masala Chips 50g,Snacks,60,20.0,0
2024-03-18,ST01,SKU001,Masala Chips 50g,Snacks,41,20.0,0
2024-03-19,ST01,SKU001,Masala Chips 50g,Snacks,43,20.0,0
2024-03-20,ST01,SKU001,Masala Chips 50g,Snacks,44,20.0,78
2024-03-21,ST01,SKU001,Masala Chips 50g,Snacks,35,20.0,43
2024-03-22,ST01,SKU001,Masala Chips 50g,Snacks,41,20.0,2
2024-03-23,ST01,SKU001,Masala Chips 50g,Snacks,61,20.0,0
2024-03-24,ST01,SKU001,Masala Chips 50g,Snacks,60,20.0,93
2024-03-25,ST01,SKU001,Masala Chips 50g,Snacks,49,20.0,44
2024-03-26,ST01,SKU001,Masala Chips 50g,Snacks,45,20.0,68
2024-03-27,ST01,SKU001,Masala Chips 50g,Snacks,66,20.0,2
2024-03-28,ST01,SKU001,Masala Chips 50g,Snacks,48,20.0,0
2024-03-29,ST01,SKU001,Masala Chips 50g,Snacks,48,20.0,0
2024-03-30,ST01,SKU001,Masala Chips 50g,Snacks,58,20.0,0
2024-03-31,ST01,SKU001,Masala Chips 50g,Snacks,54,20.0,93
2024-04-01,ST01,SKU001,Masala Chips 50g,Snacks,41,20.0,52
2024-04-02,ST01,SKU001,Masala Chips 50g,Snacks,37,20.0,15
2024-04-03,ST01,SKU001,Masala Chips 50g,Snacks,44,20.0,0
2024-04-04,ST01,SKU001,Masala Chips 50g,Snacks,44,20.0,0
2024-04-05,ST01,SKU001,Masala Chips 50g,Snacks,45,20.0,0
2024-04-06,ST01,SKU001,Masala Chips 50g,Snacks,60,20.0,0
2024-04-07,ST01,SKU001,Masala Chips 50g,Snacks,67,20.0,104
2024-04-08,ST01,SKU001,Masala Chips 50g,Snacks,44,20.0,60
2024-04-09,ST01,SKU001,Masala Chips 50g,Snacks,37,20.0,23
2024-04-10,ST01,SKU001,Masala Chips 50g,Snacks,52,20.0,0
2024-04-11,ST01,SKU001,Masala Chips 50g,Snacks,43,20.0,104
2024-04-12,ST01,SKU001,Masala Chips 50g,Snacks,51,20.0,53
